year;taladradora;limones;cazadora;azafrán;uvas;comino;medias;pala;laurel;mandarinas;sierra;zapatos;romero;piña;tornillos;guantes
1831;0,0;0,00020408573959684873;5,35804767918892e-05;5,456904708418213e-05;0,000317680089015734;2,818501891559728e-05;0,0012701748736227664;0,000362522379353842;0,0007022505574890861;5,223712763933821e-07;0,0020015211313355913;0,0004904988307836382;0,00014515604139627873;2,5880233473734347e-05;9,684138880012533e-05;0,00015641566132476977
1832;0,0;0,00021898449956227396;5,404544276237695e-05;5,6263295229135626e-05;0,0003021585663581001;2,3127336135075893e-05;0,0013203163949323685;0,00036578495772638623;0,0006752783162612884;5,223712763933821e-07;0,002175808575494947;0,0005758947736467235;0,00014673901124037262;2,6810165414709832e-05;0,00010292564525116177;0,0001621091395723592
1833;0,0;0,00022985227912743412;4,907155083547618e-05;5,640490659938482e-05;0,00028525831632058337;2,0852807226999304e-05;0,0012933776815771125;0,0003730734793602356;0,0005702445475565453;5,223712763933821e-07;0,002370229386932416;0,0006192721814711279;0,00015299424782304932;3,45537494743959e-05;0,00011092412981789885;0,00016557224853386288
1834;0,0;0,0001995172713772523;4,9577602315561565e-05;6,32384222447919e-05;0,00024410223318227509;1,6725340604547716e-05;0,0013086871669137118;0,0003731629314123503;0,0005175959456339894;5,223712763933821e-07;0,0022970240544444615;0,0006019759341922638;0,00011433617471214217;3,8928780351657876e-05;0,00012415688266693387;0,00016364113954685827
1835;0,0;0,00018068141035395717;4,720559587667594e-05;6,143994671755795e-05;0,00024238444455347363;1,9253113034015507e-05;0,0013408357387691336;0,00029021778768115576;0,0004948544041586242;5,223712763933821e-07;0,002330457066688853;0,0005369404691789116;9,627353644451171e-05;4,0278338125127835e-05;0,0001200954374423548;0,00016804807338693145
1836;0,0;0,00017769984148279555;4,228032638918323e-05;7,487146191920147e-05;0,00021808686808201728;2,1033541689316087e-05;0,0014393319361261092;0,00031214210594043834;0,0004181100523835214;5,223712763933821e-07;0,0020929122261545024;0,000559692369149291;0,00010006924355820956;4,09269800018462e-05;0,00013814802010918875;0,0001933655247350024
1837;0,0;0,00015227276678940273;9,529033054686156e-06;6,380917716748107e-05;0,000205633098663124;2,8264436277173187e-05;0,0014403633550890455;0,00030359919297292696;0,00036450631211794516;0,0;0,0018376055647552547;0,000565236785275504;0,0001368561084648588;3,753849508062298e-05;0,00012646353216691101;0,00019546235827354915
1838;0,0;0,00014294559654055256;6,985454094530854e-06;6,634157827534182e-05;0,000253320389122434;3,310734411700521e-05;0,0013779061711310142;0,00029415893355430204;0,00039255536583888376;3,1262596321214785e-07;0,0018763497791951522;0,000534964984970949;0,00013644157214847446;3,9647323189586e-05;0,00011981110138289556;0,00019127954341716498
1839;0,0;0,00013631189322690522;8,138197417549367e-06;6,285278258490377e-05;0,0002591440509799473;3,884359683427517e-05;0,0013195884353730694;0,00029044924108997554;0,0004462275455807685;3,1262596321214785e-07;0,001687145673453675;0,0004861524043267959;0,00016633862652984784;4,0335100542116766e-05;0,00010760902934440049;0,00021120884282156894
1840;0,0;0,00012206448047891172;1,1230091041219176e-05;6,240828359490738e-05;0,0002445461071991823;3,88455506237863e-05;0,0013527629562304355;0,0002786945028024742;0,00044722809694316566;3,1262596321214785e-07;0,0015138150047278032;0,00042096595994475393;0,00015568438820017555;3,652651352175391e-05;9,828828849224789e-05;0,0002060471615550341
