year;policía;doctor;abogado;periodista;pintor;músico;fotógrafo;doctora;profesora;taxista;cartero;albañil;bombero;fotógrafa;dependienta
1890;0,004690639252658002;0,009626896748419054;0,0021294330248825383;0,00041126033920591;0,0010185721813676146;0,000275614943997685;8,252861058671053e-05;3,1895916358897534e-05;0,00045047396335056486;0,0;0,0001624389134186848;0,00012374479995612222;2,6417719059931445e-05;0,0;1,1449886118595843e-07
1891;0,004642956004577822;0,010537620359433017;0,0021151749284139703;0,00043865038930692075;0,0009666331996933358;0,0002674812614194317;8,620861129721951e-05;3,3988798569290725e-05;0,000463033656420261;0,0;0,00013359677625755597;0,00011159773813622969;2,1700830643567315e-05;0,0;1,1449886118595843e-07
1892;0,004556115059780755;0,011457748353547816;0,0022155283659230918;0,0004675644244603713;0,0009651806067267898;0,00029348435158941096;8,576884299925171e-05;3,6750151163492516e-05;0,00045704059305405414;0,0;0,0001379599341687156;0,00012250956810281162;2,1649527630935544e-05;0,0;3,816584635631313e-07
1893;0,004825352360577588;0,012200732557435654;0,0022666096161369103;0,0004789765560937147;0,0009125652338428023;0,0002779759483928501;8,797083199039792e-05;3,6098174202184706e-05;0,0004185046918792068;0,0;0,0001190231549636727;0,00012105612410908049;2,3287527791840796e-05;0,0;2,6715960237717287e-07
1894;0,004944429071786415;0,013590325813441138;0,002563528219720216;0,0005795160502332562;0,0010162728488337183;0,0002796755308866393;8,780248858134396e-05;3,87624575231322e-05;0,00039092314766873775;1,2961285378310095e-07;0,00010971328379127954;0,00011728971003321931;2,5888108926405297e-05;0,0;2,6715960237717287e-07
1895;0,005155930401607682;0,015667927177024206;0,0027539406541369055;0,0005567469283310597;0,0010570947844306439;0,00029506310933616727;7,412958374126382e-05;3,8960791519977124e-05;0,000360496820966156;1,2961285378310095e-07;9,126717210555009e-05;0,00011727186769608773;2,738867367822552e-05;0,0;4,013648588089122e-07
1896;0,005436000511898393;0,016487029539088587;0,00279827399936039;0,0005803751004610344;0,0010815071748636132;0,00028732652838568484;7,282122932597954e-05;4,459418728889172e-05;0,00033712036773587376;1,2961285378310095e-07;9,888501121427647e-05;0,0001159675792093497;2,8948293666936866e-05;0,0;4,013648588089122e-07
1897;0,005768015502586162;0,018208214065193067;0,0028978144525483784;0,0005777111385084156;0,0009219202703596757;0,0002809362984277998;6,578865980243011e-05;3,223868390023199e-05;0,00033099117250198366;1,2961285378310095e-07;9,100137715124999e-05;0,00012511486277487296;2,7049487373785398e-05;0,0;4,013648588089122e-07
1898;0,00579302769827856;0,019511645327189138;0,0029956593997277586;0,0006030750487947703;0,0009495131182900099;0,0002734998052541674;6,261978212153605e-05;3,6739259152389945e-05;0,00036396997009952817;1,2961285378310095e-07;8,740189189536198e-05;0,00013052177791905706;2,959920664125093e-05;0,0;6,231405233084583e-07
1899;0,005829399170969347;0,02023449633270502;0,0030946490369387902;0,000630899661960679;0,0010188561386062897;0,00026235424326971824;6,689226341092893e-05;3,538952394624825e-05;0,0003436731373897471;1,2961285378310095e-07;6,3697104581349e-05;0,00012227001207065769;2,80463943624909e-05;1,926713138240237e-07;3,559809209312854e-07
