year;teatro;iglesia;hospital;hospital;ayuntamiento;museo;colegio;estación;juzgado;metro;fábrica;farmacia;correos
1836;0,0036192569885835314;0,01462245054426603;0,003540991591372793;0,003540991591372793;0,0031241229537824567;0,0003400328117615053;0,003417448273726872;0,0004025683892905363;0,0028056232622475363;0,0006275431392818323;0,002734905631638997;0,0008142161797357922;0,0015216549659921189
1837;0,0035968291610645664;0,014358915567364811;0,0030148660568686736;0,0030148660568686736;0,003456916913689513;0,0003130145858319468;0,0031708089539149243;0,00029585390361067506;0,0029687263512252165;0,00046280470737006653;0,002606574474027314;0,00046271657733346473;0,001541539807346583
1838;0,003553945446453456;0,013861660720847015;0,002876903610220844;0,002876903610220844;0,003885885884561243;0,00032804084639792563;0,00348388226224675;0,00028630828897543585;0,0031570851206197403;0,0004758825590605349;0,0026001169577024746;0,0005476803218178768;0,0016537214053512017
1839;0,003790501692232543;0,014018447213207504;0,0028848503331703667;0,0028848503331703667;0,004279104645580186;0,0003279684895980089;0,0037928714716274825;0,0002522110272756046;0,0034766710866408956;0,0004454875969323828;0,0025944148936624905;0,0005357036928087057;0,001575225996930385
1840;0,0038206288861277115;0,013601736178056205;0,002935949279552525;0,002935949279552525;0,004957942344065357;0,0002994481454671976;0,0036595842954868984;0,00024713354248108644;0,003679652919735028;0,00041912123833753867;0,0025055033672418047;0,0006034139557544092;0,001738142587523076
1841;0,003888968214076678;0,01470811216027609;0,0031533526583059157;0,0031533526583059157;0,005260559555608779;0,0003193012844349141;0,003966875088475977;0,00020306278380693196;0,003587634871239841;0,00043815251241799814;0,0025088805289539906;0,000757353222979873;0,0017053215742635075
1842;0,004136178696561339;0,013728259364143014;0,003328690192055157;0,003328690192055157;0,005699226780312269;0,0003169388394651053;0,003966383493596888;0,00018467984140053368;0,0037339427113433233;0,000509334157478796;0,002568719225694492;0,0008048105590725235;0,0016752681014103083
1843;0,004261525464244187;0,013347963145601431;0,0035395292278345937;0,0035395292278345937;0,00575333833694458;0,00031751928223197216;0,004599719925733682;0,00015433377598128573;0,0036048734078316814;0,0004212037700719;0,0024762509253508013;0,0009025428685812845;0,0016327983628018827
1844;0,004147718677164188;0,013550944277085364;0,0037303998396964744;0,0037303998396964744;0,006227420401825969;0,00034894277567738233;0,0049984794064325145;0,00016942454733128085;0,0036409177742565847;0,0004049929982232113;0,002343871892662719;0,0012297651729958098;0,0016076588898223626
1845;0,004138403216659624;0,014814058938229988;0,003682536589622032;0,003682536589622032;0,006059899221457142;0,00037809894105781235;0,00489103133856718;0,0001793180729237065;0,0037422027941959512;0,00038426367804536966;0,002634020633455033;0,001231094899724537;0,0015610022143976365
